"SMART LATHE EXPORT"

"Dashboards","machine"
"Parameters","rpm"

"timestamp","rpm"
"2026-06-13 05:06:43.005800","0.0"
"2026-06-13 05:06:52.067896","0.0"
"2026-06-13 05:07:01.237371","0.0"
"2026-06-13 05:07:11.304329","0.0"
"2026-06-13 05:07:20.398750","0.0"
"2026-06-13 05:07:29.477519","0.0"
"2026-06-13 05:07:38.567285","0.0"
"2026-06-13 05:07:47.684916","0.0"
"2026-06-13 05:07:56.781474","0.0"
"2026-06-13 05:08:05.873213","0.0"
"2026-06-13 05:08:14.962325","0.0"
"2026-06-13 05:08:24.053787","0.0"
"2026-06-13 05:08:33.191935","0.0"
"2026-06-13 05:08:43.303047","0.0"
"2026-06-13 05:08:52.406243","0.0"
"2026-06-13 05:09:01.522310","0.0"
"2026-06-13 05:09:10.614705","0.0"
"2026-06-13 05:09:19.701049","0.0"
"2026-06-13 05:09:28.813821","0.0"
"2026-06-13 05:09:37.915637","0.0"
"2026-06-13 05:09:47.010665","0.0"
"2026-06-13 05:09:56.217737","0.0"
"2026-06-13 05:10:06.293402","0.0"
"2026-06-13 05:10:15.375654","0.0"
"2026-06-13 05:10:24.467267","0.0"
"2026-06-13 05:10:33.600470","0.0"
"2026-06-13 05:10:42.696846","0.0"
"2026-06-13 05:10:51.792713","0.0"
"2026-06-13 05:11:00.898052","0.0"
"2026-06-13 05:11:09.989443","0.0"
"2026-06-13 05:11:19.169995","0.0"
"2026-06-13 05:11:29.269806","0.0"
"2026-06-13 05:11:38.399224","0.0"
"2026-06-13 05:11:47.491612","0.0"
"2026-06-13 05:11:56.598883","0.0"
"2026-06-13 05:12:05.694610","0.0"
"2026-06-13 05:12:14.777308","0.0"
"2026-06-13 05:12:23.889866","0.0"
"2026-06-13 05:12:32.988785","0.0"
"2026-06-13 05:12:42.164978","0.0"
"2026-06-13 05:12:52.253458","0.0"
"2026-06-13 05:13:01.376270","0.0"
"2026-06-13 05:13:10.500197","0.0"
"2026-06-13 05:13:19.592909","0.0"
"2026-06-13 05:13:28.745129","0.0"
"2026-06-13 05:13:37.824970","0.0"
"2026-06-13 05:13:46.890307","0.0"
"2026-06-13 05:13:55.991315","0.0"
"2026-06-13 05:14:05.139700","0.0"
"2026-06-13 05:14:15.219100","0.0"
"2026-06-13 05:14:24.298625","0.0"
"2026-06-13 05:14:33.373285","0.0"
"2026-06-13 05:14:42.469578","0.0"
"2026-06-13 05:14:51.568813","0.0"
"2026-06-13 05:15:00.683462","0.0"
"2026-06-13 05:15:09.779419","0.0"
"2026-06-13 05:15:18.870095","0.0"
"2026-06-13 05:15:27.975861","0.0"
"2026-06-13 05:15:37.163428","0.0"
"2026-06-13 05:15:46.303173","0.0"
"2026-06-13 05:15:55.405063","0.0"
"2026-06-13 05:16:04.493047","0.0"
"2026-06-13 05:16:13.597842","0.0"
"2026-06-13 05:16:22.698531","0.0"
"2026-06-13 05:16:31.798206","0.0"
"2026-06-13 05:16:40.871448","0.0"
"2026-06-13 05:16:49.938935","0.0"
"2026-06-13 05:16:59.159886","0.0"
"2026-06-13 05:17:08.240605","0.0"
"2026-06-13 05:17:17.324537","0.0"
"2026-06-13 05:17:26.440579","0.0"
"2026-06-13 05:17:35.584274","0.0"
"2026-06-13 05:17:44.680188","0.0"
"2026-06-13 05:17:53.778941","0.0"
"2026-06-13 05:18:02.863356","0.0"
"2026-06-13 05:18:12.093255","0.0"
"2026-06-13 05:18:22.179217","0.0"
"2026-06-13 05:18:31.293662","0.0"
"2026-06-13 05:18:40.414087","0.0"
"2026-06-13 05:18:49.517833","0.0"
"2026-06-13 05:18:58.667345","0.0"
"2026-06-13 05:19:07.737669","0.0"
"2026-06-13 05:19:16.830016","0.0"
"2026-06-13 05:19:25.918057","0.0"
"2026-06-13 05:19:35.088712","0.0"
"2026-06-13 05:19:45.144007","0.0"
"2026-06-13 05:19:54.240422","0.0"
"2026-06-13 05:20:03.372355","0.0"
"2026-06-13 05:20:12.467865","0.0"
"2026-06-13 05:20:21.594011","0.0"
"2026-06-13 05:20:30.703442","0.0"
"2026-06-13 05:20:39.776423","0.0"
"2026-06-13 05:20:48.899741","0.0"
"2026-06-13 05:20:58.051834","0.0"
"2026-06-13 05:21:08.144798","0.0"
"2026-06-13 05:21:17.215215","0.0"
"2026-06-13 05:21:26.319910","0.0"
"2026-06-13 05:21:35.431199","0.0"
"2026-06-13 05:21:44.536979","0.0"
"2026-06-13 05:21:53.683912","0.0"
"2026-06-13 05:22:02.778450","0.0"
"2026-06-13 05:22:11.889474","0.0"
"2026-06-13 05:22:21.019185","0.0"
"2026-06-13 05:22:31.138279","0.0"
"2026-06-13 05:22:40.205769","0.0"
"2026-06-13 05:22:49.282521","0.0"
"2026-06-13 05:22:58.333108","0.0"
"2026-06-13 05:23:07.402096","0.0"
"2026-06-13 05:23:16.488192","0.0"
"2026-06-13 05:23:25.567027","0.0"
"2026-06-13 05:23:34.648701","0.0"
"2026-06-13 05:23:43.721369","0.0"
"2026-06-13 05:23:52.808913","0.0"
"2026-06-13 05:24:01.914991","0.0"
"2026-06-13 05:24:11.073160","0.0"
